37
smiles,name,SLURM_JOB_ID,fragmenstein_runtime,score_inspiration,HIPPO Pose ID,HIPPO Compound ID,_id,csv_name,scratch_subdir,fragmenstein_outcome,fragmenstein_mode,fragmenstein_error,original ID,inspiration_1,inspiration_2,green,green-text
CO[C@H](CNC(=O)c1cc(C2CNC2)no1)C1CCC1,v178a,350567,2.991667,0.525212,5250,5315,6549,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C5315-P44,acceptable,expansion,None,MRUVLVYVOKTPDH-CYBMUJFWSA-N,7gp2-a,7goy-a,,
COC[C@@H](NC(=O)c1cc(C2CNC2)no1)c1nnn[nH]1,v179a,350567,1.812163,0.497918,5257,5316,6550,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C5316-P59,acceptable,expansion,None,SOJYOVUYESCPEI-MRVPVSSYSA-N,7gp2-a,7goy-a,,
COC[C@@H](CO)[C@@H]1CCN(C(C)C)C1,v180a,350568,12.369039,0.550238,5324,6708,6551,D68EV3C_iter1_knitwork_impure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350568/C6708-P70,acceptable,expansion,None,ZOQXNWFELSPGOO-GHMZBOCLSA-N,7gp9-a,7gpm-a,,
C[C@@H](CCNC(=O)c1ccon1)NC(=O)C12CCCN1CCC2,v181a,350567,3.604026,0.438838,5331,5322,6552,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C5322-P44,acceptable,expansion,None,WNHFOWDSHYWVJG-LBPRGKRZSA-N,7gp2-a,7goy-a,,
C[C@@H](CCNC(=O)c1ccon1)NC(=O)C12CCCN1CCC2,v181b,350567,3.648097,0.455632,5335,5322,6553,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C5322-P59,acceptable,expansion,None,WNHFOWDSHYWVJG-LBPRGKRZSA-N,7gp2-a,7goy-a,,
O=C(NC[C@H](O)COCC1CC1)c1cc(C2CNC2)no1,v183a,350567,4.141251,0.464711,5377,5327,6554,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C5327-P44,acceptable,expansion,None,MPKNORZLORHROU-NSHDSACASA-N,7gp2-a,7goy-a,,
O=C(NC[C@H](O)COCC1CC1)c1cc(C2CNC2)no1,v183b,350567,3.178437,0.485501,5382,5327,6555,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C5327-P59,acceptable,expansion,None,MPKNORZLORHROU-NSHDSACASA-N,7gp2-a,7goy-a,,
Cc1cc(CCNC(=O)C[C@H]2CCCN2)on1,v185a,350567,2.638149,0.459304,5404,3491,6556,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C3491-P59,acceptable,expansion,None,MCMCSDAIJKZVOX-SNVBAGLBSA-N,7gp2-a,7goy-a,,
CC(C)N1CC[C@H](CNS(C)(=O)=O)C1,v186a,350568,7.105894,0.567119,5519,6717,6557,D68EV3C_iter1_knitwork_impure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350568/C6717-P70,acceptable,expansion,None,LOIUCISLECPFKL-SECBINFHSA-N,7gp9-a,7gpm-a,,
CC(C)N1CC[C@@H](CNS(=O)(=O)CC#N)C1,v187a,350568,2.810353,0.616201,5712,6727,6558,D68EV3C_iter1_knitwork_impure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350568/C6727-P13,acceptable,expansion,None,RDYKJRCMWBBDCH-JTQLQIEISA-N,7gp9-a,7gpm-a,,
O=C(NCCCN1CCCCCC1=O)c1cc(C2CNC2)no1,v188a,350567,2.560044,0.484305,5714,7247,6559,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C7247-P44,acceptable,expansion,None,ACHFLICIKMRCKC-UHFFFAOYSA-N,7gp2-a,7goy-a,,
O=C(NCCCN1CCCCCC1=O)c1cc(C2CNC2)no1,v188b,350567,4.771144,0.48196,5722,7247,6560,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C7247-P59,acceptable,expansion,None,ACHFLICIKMRCKC-UHFFFAOYSA-N,7gp2-a,7goy-a,,
CC(C)N1CC[C@H]([C@H](F)CO)C1,v190a,350568,1.560622,0.474072,5727,6729,6561,D68EV3C_iter1_knitwork_impure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350568/C6729-P70,acceptable,expansion,None,BJJBKUVGXNAZHU-DTWKUNHWSA-N,7gp9-a,7gpm-a,,
O=C(N[C@@H](CF)C(F)(F)F)c1cc(C2CNC2)no1,v191a,350567,3.936785,0.581342,5730,7248,6562,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C7248-P44,acceptable,expansion,None,JHPNHSYIQHUBJI-QMMMGPOBSA-N,7gp2-a,7goy-a,,
O=C(N[C@@H](CF)C(F)(F)F)c1cc(C2CNC2)no1,v191b,350567,4.075954,0.589377,5734,7248,6563,D68EV3C_iter1_knitwork_impure_split1000_batch000.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350567/C7248-P59,acceptable,expansion,None,JHPNHSYIQHUBJI-QMMMGPOBSA-N,7gp2-a,7goy-a,,
c1coc(N2CCCCC2)n1,v193a,350570,1.135673,0.912254,6231,4441,6564,D68EV3C_iter1_knitwork_impure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350570/C4441-P59,acceptable,expansion,None,WMVZXSOLWBCBOO-UHFFFAOYSA-N,7gp2-a,7goy-a,,
C1CCN(c2nc3c(s2)CCC3)CC1,v194a,350570,1.575564,0.587014,6250,4453,6565,D68EV3C_iter1_knitwork_impure_split1000_batch003.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350570/C4453-P59,acceptable,expansion,None,BXBNKUUORJVLSX-UHFFFAOYSA-N,7gp2-a,7goy-a,,
N#CCCS(=O)(=O)NC[C@H]1CCNC1,v195a,350568,3.04385,0.622556,6789,4283,6566,D68EV3C_iter1_knitwork_impure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350568/C4283-P70,acceptable,expansion,None,MDQUKFVRSVJTDI-QMMMGPOBSA-N,7gp9-a,7gpm-a,,
O=S(=O)(C[C@@H]1CCNC1)NCC(F)(F)Br,v196a,350568,1.076855,0.435187,6852,4308,6567,D68EV3C_iter1_knitwork_impure_split1000_batch001.csv,/opt/xchem-fragalysis-2/maxwin/BulkDock/SCRATCH/350568/C4308-P13,acceptable,expansion,None,SVYSHLOYSYBLOE-ZCFIWIBFSA-N,7gp9-a,7gpm-a,,
